ssad01,"['b7825bfb15fde2417692bb54ef15841693067b27', 'a489f847ceb2b12cf8c978645928e46a204c4256', '5c1776fd9f9e84539af3822b8b3c5d87f9eb2c90', '26a6d55396e790472d2514819ef98990c83c1e6c', '33b7e432e58cd7a8adc9fbc0f6f64eab373cda9e', '83e13f3ae970c7cb64451bfa5597d10f5195d883', '672ec649a39bef8b0ce8dd1390e937552c5ed4aa', '00294e214631df8b2651fd022484748001e16164', '7628d3b5ea5a96039470b6b83c4ca8f36ad9c05f', '874f7ecbf2798e429924b8aeafe4519b73c9c16c', 'fc4f8bf249678fb64adaaf536016912c13d83b52', '9bec975d36658ae892847f2d62e4c987010d4cf3', '9838ff74d0491991efe8f39cc8c1e420be79f97f', '83cfb7c2628ee7a43ba47615d294aa0e981e78cc', 'b5ea10db18aa710d064340d04c2fd2614bad90d2']"
ssad02,"['ac3f719a7f30259fda0970c8546ea38c91d92460', 'de8eda65c0d26a3a6b88021373038024e31ff213', '3b3223fe0522441b6ae5b4a7703cd13cff74f23d', '20d1c727cc93e847d181ae314c14fe7a830c67b2', '1472e6c4b8474141e20e33a09a82e4ee28786b81', '4926a082c91dda597f566f1a3e8c5c539631506d', '7a60e91a1cec128c7d74a6df168daa04995846a8', '291ec51ef73a59718ef610492d734fb37e7da3a7', 'e9eb81eaddd3649de1e1c9cae74d0ce1dc99e5f3', '52257c84dc185ba161df434cc120e459ebf4d1cf', '032a06c90be4505fc27bcfad7b72df719923d504', 'bcfc31e172c4d99ec6df8a640c434082c59c8ab3', '5c0a493e68485887da2f7a3aec3a8a97c7619d87', '7187dd445e31aa51e6c850d08113d05520c30e05', 'c47e87f062379c1e3b31291ef735758f638e297f']"
ssad03,"['aca8ac5e78762a5de99b04834c3ce11e478fc461', 'f28727310594b5aa587e39503c4b161c84bedcc9', 'fca1b1e3bb73f6b1e55b642191fdc0e7cada67aa', '0adc3330ea42b3e94f5f8abafdf8d667d3269f04', '64f9b62e8454adf2ec7e7bdc09cffbdf51666870', '6b7a5fb033734498f63c721d1dfc58883f046e1e', 'b5a871fefb13da199041542036b2b4fc20f71564', 'e0b216685cf2a9b32ece3c313320ed0b6893c02d', 'e5dbae8978e261da98d2a584eef5414ce3377336', '485eaff5f31a4711e8fdf91a68a9696b80985344', 'd71798c07dfa16caf3e6de6b84ed866c6efeee80', 'a8b733eaac54511982b052209ba1b226db5be621', 'f1f52c1db1ecd0b3418fa9aab1a51134c1333975', '415748f3c3b12018690497c616a0d0b73c9ee035', '170fbbb4e364b9fb35f1811e5db3cec6cccee1be']"
ssad04,"['601e1eef85e377aedbfdfee5ba3ca412ceb3170c', 'af84f7aed0a74a1c011e8717b25f84d99ce7923a', '1fee9fc2062a4137200662dd22ddf5143e79d30d', '20639630cc7cdec929b576924b06009ced81d1fd', 'a824de650300e255deef4333abb9efaecd45cb26', '45677163e0703ad481c4bc706c6f646791bdeb6f', '7a8cd9065cef75f20ba8b9904ccef4406dd716cb', 'bae15ac49e41a8c66598d14b1ea5cc1e8a4af193', '38af8b7be3f7ae5ddb78272e8ab1379b5ae9c446', '79c80a23341f0f2de37d0e427484c23b7c2de726', '8609b205b6142f75fabac72af92a4ffb9cdb6013', '541e5b1ef52a6cd110a726ec79223d7e39dc748a', 'e4c08b0f7bbd15292cec9d8db5b0980a83264a06', '1199d95a03a99e384a4ad7f8ea6c8748449c2bb8', 'f7d02b5f5ad1da5d20e868291755deae0b9bdb32']"
ssad05,"['9742d5e6d139a36f1ff48463faf61cc92bf14561', '790df34ac47a023441a074df4180dd8e1ff93fc7', '6dcdc4f8d920f23d1022c413c93baa1365025f25', 'bc995a7efde966164696e878e22c8a80884040a2', '9e9ff85d146dcedec165c51a16153bb79e7d021a', 'afe59cd228f5dcb23a4b7f04aea4a758d232a9ed', 'a185de7d389e5961144b0ad5311a579b2dfc1c8c', '26589f00c63f387335f5b47dbaa34d957ff62eb2', '49be672e9a1896be5b9ab10b547732820a0b075d', '7dd35105fbc83c7ef8fafc7d5a18761a34915460', '22aed5c6515667b96e4222f83cc07fa8b12d7089', '02e0d622b3569d6bba5e2132274e4a6523c555fd', '7043f841e6a849645227ed4fcef324e83c1c13e1', '81bdb38f4ee0d95a345dafef247434cbde9b3a7b', '7e10b39760ab2fc4847ec8bcb776e0a7d16def08']"
ssad06,"['9e564ba6e3c07ddb59b3dd8a17ecac41e0cbcb9a', 'ddfa3d51381d301a44db24f187a615a925113c0e', '26b50c87fb9b958a9ffcf31d6913ae654cdd25fc', 'ab3bf235aa4cb7d30c5de4520404ac957d480d70', 'bae9c7d81aebf1470cdbbe84623e8bec336afcf7', '6ce956987dca42724614e8ad32208e4bda710da4', 'fbbe704572b6a3b020e59f1a4e3deb563708d721', 'b1d9dcb581e75773f465d940cac5925cc448de48', '2fe07e607ebbdf4483af336f15fc4e551d5fb876', '5ff99d4f60ef67140aaab0b479e759706b182321', '123ddb837c5bdbee0a35e8598928dc994c38ad52', 'c01aec701a383bd88b46e00eac1d6f8269551fa4', '4a5082ed02b921bdb961688595fafb19b54606ba', '0a651fe27843c8fbe009532be2ff6458afe2164f', 'd0c288341294953fc0d55f7be3ae24cae852bc16']"
ssad07,"['5a4e226b9a5b1216d4d215acfcdc5a5a6cd133f0', '58e84e766bf0f5e9dc4193de2c806aa48c32f268', 'c78e75080fa055ca5aa52b62ca34318b9e2ddffa', '782453d5202c55efc856852eac55dc9554d5365b', '5aec1cbf6441fadf5c5a4bb613332da2bc46c0dd', 'a74c8d877db1afa82f0d330c0434fc3268624ac7', '40a89afa5d5e4a785d839e2a0c132a1dee66288f', 'c65b5078cca46853d1ff3cb696f67e1721ebcc58', '8928f15e3fa8fbe75a1dfda136b94836c8020ee9', 'b64c4b7a392a1d752fa9768be4a2154c7e55bcc0', 'f67455b792901b904c5c6e72049555a5473e6d46', '76f477cc92bc9362e2623610dc70a5d0f84275dd', 'af5f7ad178ed5eba0164e2ed24952e859f8d7642', 'f9cb459aff42e06b7f0c7e8f99386944ed303110', '052bcb0f4d25edf8dab7c06a78cbdd4df4e2368f']"
ssad08,"['af52cebe9d45ac6cbe87e82da49a7934699c2cea', 'e652fed825315135d3543e1a86ee30150f68d981', '7e34ac87d7d6a62e11e6204c619b581016bb2ba8', 'be6dd16a2a309ef656762f57ce6cfcfabab91368', '5f24da952d05b35f15585df26b9bbbe6f063c509', 'fdfb78d311884474f9a7a46b08f8ce576fc23fbf', 'aac793e9f3b6917c81e00c333d896ddd5f0382e1', 'e5dff6ecbc86b81a2717469b54faae4e695c7b11', '9b4a37adff94f0fa88bda09bcc236b1865b073e3', '6cc6bb6f6a619df221f5303147196fe758b74f10', '23463fd611c27b4f1c5d508748452981f6ee4f79', '05f2f274141f0de799034673cd630e26fac97497', 'b96ccb7b583b00941f2904e5ade39758c1fbcbea', '2e59e4d058f7bae4625c52a72aaa21469ff70491', 'f3830dd1c67a27f1cc42eed6d5e86bdfdb1f5363']"
ssad09,"['0dd256bb0894d5dec60109956bfcfc909351c773', '9fcc81be334fb6a0d09669d414017bb99dc2af5d', '4c083f4a1c90c5ba8df55aa11bdceab9c7a79269', '63d17150a9e2caa9facc087a720b247a60cf1f9c', '2006aba078f5e551be281e5c10c63ea19d6c7037', 'd2e6ade443d443bf9f59b1dfb69db36f8926dbed', '2cf6a1fdb8155496a986b6b25da95d8d33213396', '65d3502af8fde1cdf458dbe37d9142ae74b5ac30', 'fcd15993805b30c14bc97dd7ce6b12622683e52a', 'ca2a2db8f4a9f98d3aeff3a69237d7beb518fbb0', '400802c439daaf167bf11159d6c2505585377a44', '2272b7afc04c8e4b74ef6f725621cd9bf066a89c', '68e539f48afc80f533e7074f47453e6d3d2a45f8', '73ba78dfa780c3388aee3785b0e0be679ddf1016', 'f76030fad95c9e566ef41e90d2ad32b7ab0ecadc']"
ssad10,"['0150c959b5d424dbb421a9aa8d2fe5a4f80204b3', 'fdaa8ccf37e30a67a8acb5779318e94da090e27b', 'c9d6842b818aa18500235a49b78f3d75aab6374a', '6dee411fc06e7c54d242fc6bf50bca11bedcca42', 'ef9e99272b2989927557b750dd5aa655741e7260', '8d256fb8aa4c8264e27fca6039fe16b68ffb0322', '455cc74e80201aa7fc3b7bfb6ee5d9fc8f8126b9', 'dc4dad93a68b226a193e67d66f7e3f3ea87310ed', 'f6f3d4e4a84b7f853e2fc05a791e5692523122d0', '6a08d7d0574a264d3669f1a15b516dcc6d13fe3f', '47982efab562f15942e948c60ea83286a9cc59b9', 'f38b29c99b3d93e0d2b73b13c29be2adf3573303', '344cc2da3287ebd7a8a15d6c3184e831c49645b9', 'c4683ccfb9adc296422610b9d13ae5aecd08ed2d', '65ab95b2c900c84f847a7e356d056d26e4cd7c73']"
